32 32 1.0 1.0 outflow 2
L 1.56250000e-02 1.56250000e-02 3.12500000e-02 0 1.25000000e-01 -4.01728710e-13 -4.01728710e-13 1.00000000e-01 0.00000000e+00
L 1.56250000e-02 4.68750000e-02 3.12500000e-02 0 1.25000000e-01 -2.89334177e-12 -3.27417502e-12 1.00000000e-01 4.10081685e-10
L 1.56250000e-02 7.81250000e-02 3.12500000e-02 0 1.25000000e-01 -1.89198919e-11 -2.02222399e-11 1.00000000e-01 2.36676300e-09
L 1.56250000e-02 1.09375000e-01 3.12500000e-02 0 1.25000000e-01 -1.16177910e-10 -1.16940816e-10 1.00000000e-01 1.26577859e-08
L 1.56250000e-02 1.40625000e-01 3.12500000e-02 0 1.25000000e-01 -6.66418221e-10 -6.28598352e-10 1.00000000e-01 6.24821498e-08
L 1.56250000e-02 1.71875000e-01 3.12500000e-02 0 1.25000001e-01 -3.55571982e-09 -3.12298372e-09 1.00000001e-01 2.82658666e-07
L 1.56250000e-02 2.03125000e-01 3.12500000e-02 0 1.25000003e-01 -1.75596844e-08 -1.42431875e-08 1.00000004e-01 1.16113046e-06
L 1.56250000e-02 2.34375000e-01 3.12500000e-02 0 1.25000014e-01 -7.97760863e-08 -5.91177288e-08 1.00000016e-01 4.27841873e-06
L 1.56250000e-02 2.65625000e-01 3.12500000e-02 0 1.25000056e-01 -3.31324466e-07 -2.20398280e-07 1.00000062e-01 1.37310132e-05
L 1.56250000e-02 2.96875000e-01 3.12500000e-02 0 1.25000195e-01 -1.23927260e-06 -7.21971423e-07 1.00000218e-01 3.61053270e-05
L 1.56250000e-02 3.28125000e-01 3.12500000e-02 0 1.25000593e-01 -3.98337769e-06 -2.04188210e-06 1.00000664e-01 8.07486729e-05
L 1.56250000e-02 3.59375000e-01 3.12500000e-02 0 1.25001567e-01 -1.11128134e-05 -4.96873611e-06 1.00001755e-01 1.50524771e-04
L 1.56250000e-02 3.90625000e-01 3.12500000e-02 0 1.25003617e-01 -2.73155639e-05 -1.01602527e-05 1.00004051e-01 1.34304900e-04
L 1.56250000e-02 4.21875000e-01 3.12500000e-02 0 1.25006627e-01 -5.38613697e-05 -1.51548996e-05 1.00007422e-01 7.40653856e-05
L 1.56250000e-02 4.53125000e-01 3.12500000e-02 0 1.25010166e-01 -9.05175303e-05 -1.08292602e-05 1.00011386e-01 2.72385273e-04
L 1.56250000e-02 4.84375000e-01 3.12500000e-02 0 1.25011758e-01 -1.04463247e-04 -2.55297785e-06 1.00013170e-01 2.23511610e-04
L 1.56250000e-02 5.15625000e-01 3.12500000e-02 0 1.25011753e-01 -1.04410867e-04 2.57601404e-06 1.00013165e-01 2.23170119e-04
L 1.56250000e-02 5.46875000e-01 3.12500000e-02 0 1.25010154e-01 -9.04074368e-05 1.08416308e-05 1.00011373e-01 2.71435448e-04
L 1.56250000e-02 5.78125000e-01 3.12500000e-02 0 1.25006615e-01 -5.37674900e-05 1.51433129e-05 1.00007409e-01 7.47581981e-05
L 1.56250000e-02 6.09375000e-01 3.12500000e-02 0 1.25003610e-01 -2.72585518e-05 1.01602341e-05 1.00004043e-01 1.33760160e-04
L 1.56250000e-02 6.40625000e-01 3.12500000e-02 0 1.25001561e-01 -1.10536018e-05 4.96416305e-06 1.00001748e-01 1.50658794e-04
L 1.56250000e-02 6.71875000e-01 3.12500000e-02 0 1.25000588e-01 -3.94523170e-06 2.03362028e-06 1.00000659e-01 8.07829984e-05
